pl,romanji,part,hiragana,katakana,kanji,group,pl_info
przedwczoraj,ototoi,przysłówek,おととい,,一昨日,,
przegrywać,makeru,czasownik,まける,,,2,
przekazywać,watasu,czasownik,わたす,,,1,rzecz
przychodzić,kuru,czasownik,くる,,,3,
przyjaciel,tomodachi,rzeczownik,ともだち,,,,
przyszly miesiąc,raigetsu,przysłówek,らいげつ,,来月,,
przyszly rok,rainen,przysłówek,らいねん,,来年,,
przyszly tydzień,raishuu,przysłówek,らいしゅう,,来週,,
pytać,kiku,czasownik,きく,,,1,
robić,suru,czasownik,する,,,3,
rodzina,kazoku,rzeczownik,かぞく,,,,
rok,nen,rzeczownik,ねん,,年,,
rower,jitensha,rzeczownik,じてんしゃ,,,,
rozmawiać,hanasu,czasownik,はなす,,,1,
rozumieć,wakaru,czasownik,わかる,,,2,
ryba,sakana,rzeczownik,さかな,,,,
ryż,kome,rzeczownik,こめ,,,,
siódma,shichiji,przysłówek,しちじ,,,,
skarpetki,kutsushita,rzeczownik,くつした,,,,
słoń,zou,rzeczownik,,ゾウ,,,
słownik,jisho,rzeczownik,じしょ,,,,
słuchać,kiku,czasownik,きく,,,1,
sobota,doyoubi,rzeczownik,どようび,,土曜日,,
spać,neru,czasownik,ねる,,,2,
spodnie,jiinzu,rzeczownik,じいんず,,,,
spotykać,au,czasownik,あう,,,1,
sprzedawać,uru,czasownik,うる,,,2,
starsza siostra,ane,rzeczownik,あね,,,,
starszy brat,ani,rzeczownik,あに,,,,
student,daigakusei,rzeczownik,だいがくせい,,,,
syn,musuko,rzeczownik,むすこ,,,,
szósta,rokuji,przysłówek,ろくじ,,,,
śniadanie,asagohan,rzeczownik,あさごはん,,,,
środa,suiyoubi,rzeczownik,すいようび,,水曜日,,
t-shirt,tiishatsu,rzeczownik,,Ｔシャツ,,,
tajlandia,tai,rzeczownik,,タイ,,,
tańczyć,odoru,czasownik,おどる,,,2,
tata,chichi,rzeczownik,ちち,,,,
telefon,denwa,rzeczownik,でんわ,,,,
telefon komórkowy,keitaidenwa,rzeczownik,けいたいでんわ,,,,
ten rok,kotoshi,przysłówek,ことし,,今年,,
torba/torebka,kaban,rzeczownik,かばん,,,,
trucizna,doku,rzeczownik,どく,,,,
trup,shitai,rzeczownik,したい,,,,
trzecia,sanji,przysłówek,さんじ,,,,
trzymać,motsu,czasownik,もつ,,,1,
tydzień,shuu,rzeczownik,しゅう,,週,,
uczeń,gakusei,rzeczownik,がくせい,,,,
umierać,shinu,czasownik,しぬ,,,1,
warzywa,yasai,rzeczownik,やさい,,,,
wc,toire,rzeczownik,,トイレ,,,
wczesniejszy rok,kyonen,przysłówek,きょねん,,去年,,
wczoraj,kinou,przysłówek,きのう,,昨日,,
wizytówka,meishi,rzeczownik,めいし,,,,
wracać,modoru,czasownik,もどる,,,2,
wróg,teki,rzeczownik,てき,,,,
wtorek,kayoubi,rzeczownik,かようび,,火曜日,,
wujek,oji,rzeczownik,おじ,,,,
wygrywać,katsu,czasownik,かつ,,,1,
wysyłać,okuru,czasownik,おくる,,,2,
zabijać,korosu,czasownik,ころす,,,1,
zapominać,wasureru,czasownik,わすれる,,,2,
zegarek,tokei,rzeczownik,とけい,,時計,,nie na rękę
zeszly miesiąc,sengetsu,przysłówek,せんげつ,,先月,,
zeszly tydzień,senshuu,przysłówek,せんしゅう,,先週,,
zoo,dobutsuen,rzeczownik,どぶつえん,,,,
zwierzęta,doubutsu,rzeczownik,どうぶつ,,,,
żona,tsuma,rzeczownik,つま,,,,Moja żona
życzyć,negau,czasownik,ねがう,,,1,
żyć,ikiru,czasownik,いきる,,,2,
